,Name,Strain,Url,Description,Price,Strain_type,Terpenes
33,,Balanced Milled,https://www.ocs.ca/products/balanced-milled,"Plain Packaging’s milled indica-dominant hybrid strain is greenhouse-grown and has very mild THC potency. This conveniently pre-ground flower is accented by orange hairs, and its myrcene terpene profile (which is also present in hops and thyme) produces an earthy, clove-like aroma. It’s available in various dried flower sizes.",8.1,Hybrid,"Alpha-Pinene,Eudesmols,Guaiol,Myrcene,TrimethylPentanediol"
34,Cold Creek Kush,Cold Creek Kush,https://www.ocs.ca/products/cold-creek-kush,"Vertical hand-trims and hang-dries its Cold Creek Kush. The indica-dominant indoor-grown strain’s terpene profile (beta-pinene, nerolidol, beta-caryophyllene) gives it an herbal, earthy, piney, woodsy taste. It has strong THC potency and is available in 1 g, 3.5 g and 7 g dried flower sizes.
",11.66,Indica dominant,"Beta-Pinene,Nerolidol,Beta-Caryophyllene,Trans-Caryophyllene"
35,Delahaze,BC Delahaze,https://www.ocs.ca/products/bc-delahaze,"Mango and citrus notes provide a sweet overtone to the earthy, spicy aromas in this hand-trimmed, hang-dried BC Delahaze from Flowr. It’s a sativa-dominant green and orange strain with very strong THC potency and a terpene profile that includes alpha-pinene, myrcene, trans-caryophyllene, terpinene and nerolidol. It’s available pre-rolled and in 3.5 g and 7 g dried flower sizes.",15.65,Sativa dominant,"Alpha-Pinene,Myrcene,Terpinene,Trans-Caryophyllene,Nerolidol"
36,Ice Cream,Ace Valley Sativa,https://www.ocs.ca/products/ace-valley-sativa,"Earthy and fruity Ace Valley Sativa is a sativa-dominant purple and orange hybrid from Flowr with very strong THC potency. It’s hand-trimmed and hang-dried indoors, and has a terpene profile that includes beta- and trans-caryophyllene, limonene and humulene. It’s available in 3.5 g and 7 g dried flower sizes.
",13.03,Sativa dominant,"Beta-Caryophyllene,Trans-Caryophyllene,Limonene,Ocimene,Humulene"
37,,Go,https://www.ocs.ca/products/go,"Go from Tokyo Smoke is a hang-dried sativa-dominant strain with very strong THC potency and a terpene profile that includes beta-pinene, beta- and trans-caryophyllene, and terpineol, which produce floral and citrus notes, and hints of spice. Grown in a hybrid greenhouse, its dense flowers are light green with orange and gold tones. It's available pre-rolled and in various dried flower sizes.
",10.56,Sativa dominant,"Beta-Pinene,Beta-Caryophyllene,Trans-Caryophyllene,Terpineol"
38,Pink Kush,Pink Kush,https://www.ocs.ca/products/pink-kush-san-rafael-71,"San Rafael '71’s Pink Kush has very strong THC potency and a sweet aroma balanced with earthy notes, thanks to the myrcene, beta-caryophyllene and limonene in its terpene mix. This indica-dominant strain is grown, hand-trimmed and hang-dried indoors. It’s available in 1 g, 3.5 g and 7 g dried flower varieties.
",13.55,Indica dominant,"Myrcene,Beta-Caryophyllene,Beta-Pinene,Limonene"
39,,Tropical Breeze,https://www.ocs.ca/products/tropical-breeze,"Tropical Breeze from Synr.g is grown and hand-sorted in the Niagara Escarpment. It has medium THC potency and features limonene, trans-caryophyllene, alpha- and beta-pinene, and humulene in its terpene mix, which give it its skunky, sour lime, tropical fruit taste. Tropical Breeze is available pre-rolled and in three dried flower sizes.
",9.9,Indica dominant,"Alpha-Pinene,Beta-Pinene,Humulene,Limonene,Trans-Caryophyllene"
40,Great White Shark,White Shark,https://www.ocs.ca/products/white-shark-redecan,"White Shark is a sativa-dominant hybrid strain with a myrcene-rich terpene profile that delivers an earthy, musky flavour with a hint of fruit. This green-and-amber-coloured strain has strong THC potency, and is greenhouse-grown in pesticide-free natural lighting conditions, and then hang-dried, hand-trimmed, sterilized and inspected. White Shark is available in 1 g, 3.5 g, 7 g and 15 g dried flower sizes.
",10.06,Hybrid,"Myrcene,Beta-Caryophyllene,Trans-Caryophyllene,Alpha-Pinene,Limonene"
41,Wappa,Wappa,https://www.ocs.ca/products/wappa-redecan,"Wappa has large, solid flowers that taper from a broad base to a sharply pointed tip and have a strong yet sweet aroma that verges on skunkiness, both of which also come through in the caryophyllene-forward taste profile. This green-and-yellow-coloured indica-dominant strain with strong THC potency is greenhouse-grown in pesticide-free natural lighting conditions, and then hang-dried, hand-trimmed, sterilized and inspected. Wappa is available in 1 g, 3.5 g, 7 g and 15 g dried flower sizes.
",10.06,Indica dominant,"Beta-Caryophyllene,Trans-Caryophyllene,Myrcene,Alpha-Pinene,Humulene"
42,,North Star CBD,https://www.ocs.ca/products/north-star-cbd-alta-vie,"AltaVie’s North Star CBD is a sativa-dominant strain with little to minimal THC potency that is grown, hand-trimmed and hang-dried indoors. Its floral aroma comes from the alpha- and beta-pinene in its terpene mix, while the myrcene and limonene are responsible for the earth, fruit and clove notes. This strain is available in capsules (15 per bottle) and 1 g, 3.5 g and 7 g dried flower varieties.
",13.18,Sativa dominant,"Myrcene,Alpha-Pinene,Beta-Pinene,Limonene"
43,Super Silver Haze,Critical Super Silver Haze ,https://www.ocs.ca/products/critical-super-silver-haze,"Critical Super Silver Haze is a purple-coloured sativa-dominant plant that’s densely coated with trichomes and has a slightly sweet and citrusy aroma, incense and mentholated wood notes and a hint of pungent varnish. This strain is grown indoors in B.C. by Canna Farms and features a terpene mix of linalool, beta- and trans-caryophyllene, limonene and myrcene. Critical Super Silver Haze has strong THC potency and is available as a 1 g pre-roll and a 3.5 g package of dried flower.",16.15,Sativa dominant,"Beta-Caryophyllene,Limonene,Linalool,Myrcene,Trans-Caryophyllene"
44,White Widow,White Widow,https://www.ocs.ca/products/white-widow-2,"White Widow from Redecan has chunky, conical, tapered buds with a loose and fluffy texture. It has a fairly balanced 60:40 ratio of sativa to indica, and its limonene terpenes produce a citrusy, peppery scent accompanied by a slight lemon aftertaste. This green-and-white-coloured strain with strong THC potency is greenhouse-grown in pesticide-free natural lighting conditions, and then hang-dried, hand-trimmed, sterilized and inspected. White Widow is available in 1 g, 3.5 g, 7 g and 15 g dried flower sizes.",9.58,Hybrid,"Beta-Caryophyllene,Myrcene,Trans-Caryophyllene,Guaiol,Limonene"
45,GSC,GSC,https://www.ocs.ca/products/gsc,"GSC is grown indoors in B.C. by Canna Farms. It’s an indica-dominant hybrid of OG Kush and Durban Poison, with very strong THC potency and a terpene mix of limonene, beta- and trans-caryophyllene, alpha-pinene and linalool. It’s available as a 1 g pre-roll and a 3.5 g package of dried flower.",16.15,Indica dominant,"Limonene,Alpha-Pinene,Beta-Caryophyllene,Linalool,Trans-Caryophyllene"
46,Shishkaberry,Shishkaberry,https://www.ocs.ca/products/shishkaberry-redecan,"Shiskaberry from Redecan is an indica-dominant strain with dense, spade-shaped dark olive green nugs, minty green leaves and furry dark amber hairs with a thick, frosty coating of white trichomes. Greenhouse-grown in the Niagara region, this strain’s sweet, earthy-fresh aroma is a product of the beta- and trans-caryophyllene, myrcene, limonene and humulene in its terpene profile. It has medium THC potency and is available as 1 g, 3.5 g, 7 g and 15 g packages of dried flower.
",8.79,Indica dominant,"Beta-Caryophyllene,Myrcene,Trans-Caryophyllene,Humulene,Limonene"
47,Palm Tree CBD,Palm Tree CBD,https://www.ocs.ca/products/palm-tree,"Palm Tree CBD from LBS is an indica-dominant strain with dense lime-coloured buds, purplish highlights and bright orange pistils that resemble the Hashplant strain. Grown in an indoor greenhouse, it has a terpene mix that includes alpha-pinene, eudesmols, guaiol and myrcene. It has mild THC potency and is available in various dried flower weights.
",11.26,Indica dominant,"Alpha-Pinene,Eudesmols,Guaiol,Myrcene,TrimethylPentanediol"
48,Shishkaberry,Shishkaberry,https://www.ocs.ca/products/shishkaberry,"Vertical hand-trims and hang-dries its purple and green Shishkaberry. This indoor-grown indica-dominant strain’s terpene profile (beta-pinene, beta-caryophyllene and nerolidol) gives it a fruity berry aroma. It has medium THC potency and is available in 1 g, 3.5 g and 7 g dried flower sizes.
",11.07,Indica dominant,"Beta-Pinene,Beta-Caryophyllene,Trans-Caryophyllene,Nerolidol"
49,Blueberry Kush,No. 402 Blueberry Kush,https://www.ocs.ca/products/no-402-blueberry-kush-haven-st,"Haven St. grows and harvests its indica-dominant No. 402 Blueberry Kush indoors as an irradiated whole flower, then hand-trims and hang-dries the green and purple buds. Its myrcene-forward terpene profile gives it earthy floral notes and a sweet berry aroma. This strain has a medium to high THC potency and comes in a variety of dried flower and pre-rolled formats.",11.52,Indica dominant,"Alpha-Pinene,Beta-Caryophyllene,Beta-Myrcene,Beta-Pinene,Limonene"
50,Hash Plant,Lola Montes,https://www.ocs.ca/products/lola-montes-edison,"Lola Montes, from Edison, is an indica-dominant strain with very strong THC potency. This strain produces flowers with a tight, dense structure and a two-tone emerald hue, and its terpene profile includes beta-caryophyllene, guaiol, myrcene, bisabolol and humulene. All Organigram products are individually packaged with Integra Boost technology, which preserves freshness and controls relative humidity levels, therefore extending the products’ shelf life.",9.96,Indica dominant,"Beta-Caryophyllene,Guaiol,Myrcene,Bisabolol,Humulene"
51,La Blanca Gold,Casablanca Reserve,https://www.ocs.ca/products/casa-blanca-reserve,"Indica-dominant Casablanca Reserve from Edison is an indoor-grown hand-trimmed and craft-cured strain. It features forest green flowers with hints of orange, tightly woven buds and an earthy, fresh aroma from the alpha-pinene and myrcene in its terpene mix. It has strong THC potency and is available as 7 g of dried flower. All Organigram products are individually packaged with Integra Boost technology, which preserves freshness and controls relative humidity levels, therefore extending the products’ shelf life.",13.68,Indica dominant,"Myrcene,Beta-Caryophyllene,Limonene,Trans-Caryophyllene,Alpha-Pinene"
52,Lemon Skunk,Lemon Skunk,https://www.ocs.ca/products/lemon-skunk,"Lemon Skunk is a greenhouse-grown hybrid strain with medium THC potency. The plant’s buds are light green with thick orange hairs, and its terpene profile is rich in bergamotene, terpinolene and caryophyllene, which give it a black pepper scent and hints of citrus. Lemon Skunk is available in four dried flower weights, and 10 mg and 2.5 mg capsules.
",12.62,Hybrid,"Bergamotene,Beta-Pinene,Para-Cymenene,Terpinolene,Trans-Caryophyllene"
53,Hash Plant,Lola Montes Reserve,https://www.ocs.ca/products/lola-montes-reserve,"Lola Montes Reserve, from Edison, is a strain with very strong THC potency. Its terpene profile includes beta-caryophyllene, guaiol, myrcene, bisabolol and humulene. All Organigram products are individually packaged with Integra Boost technology, which preserves freshness and controls relative humidity levels, therefore extending the products’ shelf life.",13.68,Indica dominant,"Beta-Caryophyllene,Guaiol,Myrcene,Bisabolol,Humulene"
54,Sensi Star,BC Sensi Star,https://www.ocs.ca/products/bc-sensi-star,"BC Sensi Star from Flowr is an indoor-grown indica-dominant strain from the Okanagan Valley, B.C., with a green-and-rust mossy appearance. Its terpene profile combines beta- and trans-caryophyllene, limonene and humulene to create a unique and pungent aroma and citrusy, earthy flavours that sometimes seem sweet. This hand-trimmed, hang-dried strain has strong THC potency and is available as 3.5 g and 7 g of dried flower.",12.38,Indica dominant,"Beta-Caryophyllene,Trans-Caryophyllene,Limonene,Humulene,Guaiol"
55,Chocolope,Chocolope,https://www.ocs.ca/products/chocolope-whistler-cannabis,"Chocolope from Whistler Cannabis Co. is a sativa-dominant strain with strong THC potency potential, grown indoors in British Columbia under LED lighting. Its main terpene is terpinolene (also found in apples, cumin, lilac, tea tree oil and conifers), and it's available in a 3.5 g package.",22.66,Sativa dominant,Terpinolene
56,Shishkaberry,Shishkaberry,https://www.ocs.ca/products/shishkaberry-2,"Shishkaberry from Seven Oaks is an indica-dominant hybrid. Grown indoors, its green and purple buds have medium THC potency and a fruity, berry-like aroma from its myrcene, caryophyllene and alpha-pinene terpene profile. It’s available pre-rolled, and in 1 g and 3.5 g dried flower sizes.
",10.06,Hybrid,"Beta-Caryophyllene,Trans-Caryophyllene,Humulene,Myrcene,Alpha-Pinene"
57,,Polar Kish,https://www.ocs.ca/products/polar-kish,"Polar Kish is an indica-dominant hybrid with a fruity berry aroma and taste. With very strong THC potency, its buds are shades of purple. It’s 100% hydroponic, hand-trimmed and hang-dried indoors. Its terpene profile includes beta- and trans-caryophyllene, nerolidol, guaiol and limonene, and it's available in 3.5 g, 7 g and 15 g dried flower weights.",9.4,Indica dominant,"Beta-Caryophyllene,Humulene,Limonene,Myrcene,Ocimene"
58,Tangerine Dream,Tangerine Dream ,https://www.ocs.ca/products/tangerine-dream-1,"Tangerine Dream from Canna Farms is a hybrid strain with very strong THC potency. It’s a combination of G13 and Neville’s A5 Haze, with a citrusy fruit smell created by the myrcene, beta- and trans-caryophyllene, limonene and guaiol combination in its terpene profile. It’s grown indoors in B.C. and available as a 1 g pre-roll and a 3.5 g package of dried flower.",16.15,Hybrid,"Myrcene,Beta-Caryophyllene,Limonene,Trans-Caryophyllene,Guaiol"
